,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
0,A,1.9705882352941175,2.5588235294117645,L,W,W,W,L,W,1.0294117647058822,2.0,0.0,-1.0
1,A,2.088235294117647,0.6176470588235294,L,W,W,D,L,L,1.088235294117647,-0.7647058823529411,0.3235294117647059,-4.0
2,H,1.2058823529411764,1.5882352941176472,W,W,W,L,W,W,-0.2058823529411765,0.5,0.08823529411764706,15.0
3,D,1.0294117647058822,0.7941176470588235,D,D,W,L,L,L,-0.5294117647058824,-0.9705882352941176,0.1176470588235294,-2.0
4,D,1.0294117647058822,1.9705882352941175,L,D,L,L,W,W,-0.4411764705882353,1.0294117647058822,-0.2352941176470588,18.0
5,A,1.1176470588235294,2.088235294117647,D,D,W,L,W,W,-0.35294117647058826,1.088235294117647,-0.17647058823529413,3.0
6,A,1.5294117647058822,1.7647058823529411,W,W,W,W,D,L,0.1176470588235294,0.7058823529411765,0.2352941176470588,15.0
7,D,1.2647058823529411,0.8235294117647058,L,L,W,L,L,L,0.05882352941176471,-0.5882352941176471,0.17647058823529413,4.0
8,D,1.088235294117647,0.9117647058823528,L,D,L,D,L,W,-0.5,-0.5588235294117647,0.0,3.0
9,D,0.6176470588235294,1.9705882352941175,D,L,L,D,W,W,-0.7647058823529411,1.1764705882352942,-0.2647058823529412,6.0
10,H,1.6285714285714286,1.0,W,L,W,L,D,D,0.5714285714285714,-0.6,0.2,-6.0
11,H,2.571428571428572,0.9428571428571428,W,W,L,L,D,D,2.085714285714286,-0.6857142857142857,0.2571428571428571,-12.0
12,D,0.8,1.4857142857142858,D,L,L,L,W,W,-0.9428571428571428,0.08571428571428573,-0.3142857142857143,-3.0
13,H,1.2,1.1714285714285717,D,D,L,L,W,W,-0.42857142857142855,-0.22857142857142854,-0.11428571428571427,-13.0
14,D,1.4857142857142858,1.0285714285714285,L,W,W,D,L,D,0.08571428571428573,-0.42857142857142855,0.2857142857142857,-4.0
15,H,0.9714285714285714,1.2571428571428571,W,D,L,D,L,L,-0.5142857142857142,0.057142857142857134,0.0,2.0
16,A,1.0,1.2,W,D,L,D,D,L,-0.7714285714285715,-0.42857142857142855,-0.08571428571428573,13.0
17,D,2.0,0.8,W,D,W,D,L,L,1.2285714285714286,-0.9428571428571428,0.2571428571428571,-9.0
18,A,1.1714285714285717,0.6857142857142857,L,W,W,W,D,L,-0.22857142857142854,-0.7142857142857143,0.22857142857142854,10.0
19,H,0.8285714285714286,1.0857142857142856,D,L,L,L,D,D,-0.5714285714285714,-0.42857142857142855,-0.11428571428571427,-1.0
20,A,0.9166666666666666,1.8333333333333333,L,L,D,W,W,W,-0.6944444444444444,0.7222222222222222,-0.2222222222222222,14.0
21,H,2.1388888888888893,1.5833333333333333,W,W,L,L,W,L,1.1111111111111112,0.5277777777777778,0.08333333333333333,1.0
22,A,0.9722222222222222,2.583333333333333,L,L,D,W,W,W,-0.6666666666666666,2.1111111111111107,-0.19444444444444445,8.0
23,H,1.9722222222222223,1.0555555555555556,W,D,L,D,L,L,1.0277777777777777,-0.5,0.2222222222222222,-15.0
24,H,1.0277777777777777,2.1388888888888893,D,D,L,W,W,L,-0.4166666666666667,1.1111111111111112,-0.25,14.0
25,H,1.0555555555555556,0.9166666666666666,L,L,D,L,L,D,-0.4722222222222222,-0.6944444444444444,0.08333333333333333,-6.0
26,D,1.25,0.8888888888888888,W,D,D,W,D,L,-0.3888888888888889,-0.5277777777777778,0.1111111111111111,-1.0
27,A,1.2222222222222223,0.9722222222222222,L,D,L,L,L,D,-0.08333333333333333,-0.6666666666666666,-0.027777777777777776,1.0
28,A,0.8055555555555556,0.9722222222222222,D,D,L,D,W,D,-0.9166666666666666,-0.5,-0.16666666666666666,-1.0
29,H,1.0555555555555556,1.1388888888888888,D,L,L,L,L,W,-0.5,-0.25,-0.19444444444444445,-3.0
30,H,0.7567567567567568,1.9189189189189189,W,D,W,L,W,D,-0.6486486486486487,0.972972972972973,0.027027027027027032,8.0
31,H,1.6216216216216215,1.4594594594594594,W,L,W,D,D,L,0.6486486486486487,0.08108108108108109,0.027027027027027032,-11.0
32,H,1.864864864864865,1.945945945945946,W,W,W,D,D,W,0.7297297297297297,1.162162162162162,0.10810810810810813,-3.0
33,D,2.5405405405405403,0.972972972972973,D,W,W,D,L,W,2.054054054054054,-0.7837837837837838,0.13513513513513514,-17.0
34,A,0.8918918918918919,0.8918918918918919,L,L,L,D,W,D,-0.7027027027027027,-0.5135135135135135,-0.08108108108108109,7.0
35,D,1.864864864864865,0.972972972972973,W,W,W,D,L,W,0.7297297297297297,-0.7837837837837838,0.21621621621621626,-19.0
36,H,1.1891891891891893,1.6216216216216215,L,L,D,W,L,W,-0.13513513513513514,0.6486486486486487,-0.21621621621621626,7.0
37,H,2.5405405405405403,1.0810810810810811,D,W,W,W,D,D,2.054054054054054,-0.3783783783783784,0.10810810810810813,-17.0
38,H,1.9189189189189189,1.108108108108108,L,W,D,L,L,L,0.972972972972973,-0.2702702702702703,0.027027027027027032,-18.0
39,D,1.027027027027027,2.081081081081081,W,L,L,L,W,W,-0.5945945945945946,1.054054054054054,-0.10810810810810813,5.0
40,A,1.4210526315789471,1.0789473684210529,L,D,D,W,L,L,-0.05263157894736842,-0.4473684210526316,0.02631578947368421,7.0
41,H,1.0789473684210529,0.8157894736842105,W,W,D,W,W,D,-0.3157894736842105,-0.6052631578947368,0.0,4.0
42,A,0.9736842105263158,1.5789473684210529,D,D,L,L,W,L,-0.7631578947368421,0.5789473684210527,0.0,15.0
43,H,1.8947368421052633,1.0526315789473684,L,D,D,L,W,D,1.1052631578947372,-0.42105263157894735,0.02631578947368421,-16.0
44,H,2.0526315789473686,1.0789473684210529,D,L,W,W,L,D,1.0263157894736843,-0.5,0.07894736842105263,-11.0
45,H,1.0789473684210529,1.8421052631578947,L,L,L,D,W,W,-0.2894736842105263,0.7105263157894737,-0.2631578947368421,19.0
46,A,0.9473684210526316,2.5526315789473686,W,D,W,W,D,W,-0.4736842105263158,2.0526315789473686,-0.13157894736842105,5.0
47,A,0.8684210526315791,0.7894736842105263,L,L,L,L,D,D,-0.7105263157894737,-0.8947368421052632,-0.05263157894736842,2.0
48,H,1.947368421052632,1.236842105263158,W,L,W,W,L,L,0.9736842105263158,-0.07894736842105263,0.07894736842105263,-10.0
49,H,1.0263157894736843,1.2894736842105263,D,W,L,D,W,W,-0.5789473684210527,-0.3157894736842105,-0.10526315789473684,4.0
